		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000   24   17   33   21   26   28   34   22 10.757358 0.215830 SUCCESS  76
100101000   25   18   14   23   23   16   24   26  9.600217 0.294213 SUCCESS  77
100110000   22   16   20   29   20   22   33   27  9.433398 0.307063 SUCCESS  78
100111000   20   42   23   28   22   27   30   30 17.767062 0.023042 SUCCESS  79
101000000   27   29   24   20   26   29   27   33  6.437278 0.598373 SUCCESS  80
101000100   25   26   17   29   28   24   23   30  5.308602 0.724140 SUCCESS  81
101001000   29   19   29   25   32   32   28   28  9.039520 0.338973 SUCCESS  82
101001100   23   24   19   29   22   23   34   22  6.697436 0.569601 SUCCESS  83
101010000   16   29   20   24   39   31   24   20 16.417285 0.036782 SUCCESS  84
101010100   24   25   17   22   33   23   18   25  7.552052 0.478402 SUCCESS  85
101011000   26   16   30   20   24   32   24   19  8.942209 0.347195 SUCCESS  86
101011100   28   18   22   28   21   20   19   22  5.864665 0.662388 SUCCESS  87
101100000   25   26   32   20   25   15   25   24  7.171413 0.518257 SUCCESS  88
101100100   28   23   27   22   26   22   33   15  8.392104 0.396135 SUCCESS  89
101101000   17   22   25   26   23   22   31   27  5.146417 0.741818 SUCCESS  90
101101100   18   23   23   19   24   26   22   25  3.509341 0.898463 SUCCESS  91
101110000   22   13   32   19   25   29   20   19 12.397744 0.134320 SUCCESS  92
101110100   26   14   30   20   31   35   21   21 14.425388 0.071330 SUCCESS  93
101111000   16   24   24   21   23   22   17   23  6.219486 0.622661 SUCCESS  94
101111100   25   24   16   16   26   27   28   33 10.078167 0.259582 SUCCESS  95
110000000   22   15   32   25   21   34   27   25 11.146602 0.193530 SUCCESS  96
110000010   24   21   25   29   30   28   30   24  4.623453 0.796959 SUCCESS  97
110000100   22   22   30   21   24   17   28   30  6.510757 0.590215 SUCCESS  98
110001000   18   27   23   25   25   25   24   28  2.706360 0.951413 SUCCESS  99
110001010   20   30   24   31   26   22   21   20  5.663423 0.684875 SUCCESS 100
110010000   28   21   31   21   27   28   21   16  7.688420 0.464483 SUCCESS 101
110010010   22   27   28   29   22   13   14   23 12.389138 0.134668 SUCCESS 102
110010100   27   18   20   21   25   20   26   25  4.289153 0.830138 SUCCESS 103
110011000   24   18   18   32   24   23   22   26  6.365784 0.606330 SUCCESS 104
110011010   28   32   19   25   25   16   22   26  7.603686 0.473108 SUCCESS 105
110100000   25   22   24   19   19   27   29   27  4.205744 0.838100 SUCCESS 106
110100010   23   25   24   24   22   23   22   33  3.816500 0.873288 SUCCESS 107
110100100   31   32   32   21   24   32   28   18 11.970767 0.152513 SUCCESS 108
110101000   27   24   16   26   29   27   24   29  5.478069 0.705469 SUCCESS 109
110101010   26   26   20   29   29   26   19   17  6.493546 0.592124 SUCCESS 110
110101100   35   25   30   25   29   26   20   28  8.496697 0.386513 SUCCESS 111
110110000   19   21   22   17   28   18   26   19  7.914155 0.441900 SUCCESS 112
110110010   28   25   19   28   16   24   29   24  6.247952 0.619479 SUCCESS 113
110110100   28   17   25   26   20   24   24   20  4.645298 0.794727 SUCCESS 114
110111000   16   21   30   19   18   27   21   15 12.294475 0.138541 SUCCESS 115
110111010   22   17   18   33   25   25   22   24  7.712913 0.462004 SUCCESS 116
110111100   16   21   31   22   29   18   31   21 10.534933 0.229468 SUCCESS 117
111000000   18   22   24   30   26   37   22   23 10.477340 0.233107 SUCCESS 118
111000010   31   22   27   22   24   30   29   24  4.860442 0.772383 SUCCESS 119
111000100   23   25   23   20   26   13   24   25  6.635872 0.576379 SUCCESS 120
111000110   14   25   29   20   21   24   20   26  7.737406 0.459532 SUCCESS 121
111001000   20   17   27   24   23   29   27   17  7.017834 0.534710 SUCCESS 122
111001010   28   17   19   25   23   27   27   19  6.009639 0.646152 SUCCESS 123
111001100   24   22   19   24   30   23   18   28  5.188122 0.737293 SUCCESS 124
111010000   26   19   33   17   15   34   25   30 15.789728 0.045491 SUCCESS 125
111010010   27   33   27   25   31   31   25   18  9.165958 0.328490 SUCCESS 126
111010100   25   25   18   25   27   30   25   26  3.520595 0.897585 SUCCESS 127
111010110   26   32   26   30   25   30   20   33  9.293721 0.318127 SUCCESS 128
111011000   25   23   32   24   29   22   24   24  3.707273 0.882522 SUCCESS 129
111011010   32   27   23   20   20   25   31   24  6.325403 0.610832 SUCCESS 130
111011100   24   23   26   20   15   26   17   19  8.422555 0.393319 SUCCESS 131
111100000   17   27   18   25   26   32   15   22 10.898360 0.207525 SUCCESS 132
111100010   27   21   26   22   24   17   20   30  5.603183 0.691583 SUCCESS 133
111100100   19   22   26   19   24   26   26   18  4.780342 0.780775 SUCCESS 134
111100110   23   32   16   21   30   27   23   27  7.994254 0.434032 SUCCESS 135
111101000   29   26   21   26   16   21   25   29  5.993751 0.647932 SUCCESS 136
111101010   26   21   23   21   28   32   22   26  4.520184 0.807410 SUCCESS 137
111101100   27   23   36   19   24   22   28   25  8.122016 0.421643 SUCCESS 138
111101110   19   20   23   22   17   25   20   21  6.024202 0.644521 SUCCESS 139
111110000   29   24   21   18   27   25   16   24  6.424700 0.599771 SUCCESS 140
111110010   20   25   27   23   26   26   30   21  3.240577 0.918365 SUCCESS 141
111110100   20   30   23   24   20   22   35   25  8.078988 0.425793 SUCCESS 142
111110110   32   33   32   19   21   25   29   25 10.682554 0.220343 SUCCESS 143
111111000   29   25   23   19   27   19   23   22  4.077982 0.850020 SUCCESS 144
111111010   26   23   23   29   16   29   22   31  7.146920 0.520867 SUCCESS 145
111111100   34   24   28   23   21   25   29   13 11.451113 0.177425 SUCCESS 146
111111110   18   34   28   29   15   25   26   15 14.695476 0.065344 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   16   27   19   18   25   29   36   33 15.993618 0.042472 SUCCESS   0
000000011   24   26   19   18   21   24   29   26  4.586382 0.800730 SUCCESS   1
000000101   19   30   31   21   34   32   23   28 11.886033 0.156362 SUCCESS   2
000000111   23   16   20   25   18   20   25   26  6.584237 0.582080 SUCCESS   3
000001001   24   28   24   27   31   22   26   20  3.868134 0.868820 SUCCESS   4
000001011   23   26   24   25   23   26   26   26  0.622447 0.999695 SUCCESS   5
000001101   30   29   18   19   15   31   27   21 11.560339 0.171925 SUCCESS   6
000001111   25   26   25   23   22   20   22   24  1.535979 0.992094 SUCCESS   7
000010001   24   22   22   25   27   21   24   18  3.026758 0.932667 SUCCESS   8
000010011   13   24   23   26   27   23   24   11 13.684633 0.090365 SUCCESS   9
000010101   24   27   30   23   27   23   26   18  3.918445 0.864406 SUCCESS  10
000010111   28   31   20   23   35   21   19   34 13.689928 0.090214 SUCCESS  11
000011001   25   36   21   19   20   25   26   24  8.392104 0.396135 SUCCESS  12
000011011   25   29   23   28   14   23   27   23  6.578279 0.582739 SUCCESS  13
000011101   20   21   19   29   17   32   23   22  8.534430 0.383078 SUCCESS  14
000011111   18   29   21   26   22   22   15   24  7.465994 0.487288 SUCCESS  15
000100011   25   21   21   24   32   19   19   21  6.407489 0.601686 SUCCESS  16
000100101   22   26   20   30   27   31   25   33  7.784407 0.454808 SUCCESS  17
000100111   17   30   25   22   26   24   21   12 11.024798 0.200298 SUCCESS  18
000101001   23   30   29   30   34   21   27   29  9.217593 0.324274 SUCCESS  19
000101011   28   23   24   29   25   24   30   24  2.894362 0.940811 SUCCESS  20
000101101   24   26   27   28   18   22   34   29  7.732772 0.460000 SUCCESS  21
000101111   30   31   22   26   24   20   21   33  7.978367 0.435586 SUCCESS  22
000110011   26   21   26   21   15   21   30   26  6.865579 0.551203 SUCCESS  23
000110101   24   20   24   22   28   23   24   21  2.205241 0.974064 SUCCESS  24
000110111   28   25   23   25   21   26   25   29  2.173466 0.975227 SUCCESS  25
000111001   31   25   16   19   27   26   29   26  7.485854 0.485230 SUCCESS  26
000111011   18   23   29   17   19   23   20   22  7.414360 0.492656 SUCCESS  27
000111101   20   21   28   30   21   23   26   20  4.688327 0.790309 SUCCESS  28
000111111   26   26   23   24   22   19   21   25  2.289974 0.970807 SUCCESS  29
001000011   22   24   21   25   23   36   22   23  6.866903 0.551059 SUCCESS  30
001000101   28   27   26   31   21   22   26   29  4.530114 0.806413 SUCCESS  31
001000111   24   25   21   27   23   25   21   20  2.205241 0.974064 SUCCESS  32
001001011   23   25   28   26   22   31   20   22  3.909839 0.865165 SUCCESS  33
001001101   17   18   21   26   25   26   24   19  6.016921 0.645336 SUCCESS  34
001001111   21   24   26   21   20   24   20   19  3.974713 0.859398 SUCCESS  35
001010011   33   32   24   33   34   17   29   34 19.751677 0.011317 SUCCESS  36
001010101   22   31   28   22   20   20   35   29 10.181435 0.252522 SUCCESS  37
001010111   23   25   20   22   23   19   27   28  3.315381 0.913036 SUCCESS  38
001011011   25   27   27   29   21   30   21   28  4.343436 0.824885 SUCCESS  39
001011101   26   22   23   16   33   23   24   23  6.730535 0.565965 SUCCESS  40
001011111   29   25   22   25   30   20   20   21  4.629411 0.796351 SUCCESS  41
001100101   23   25   19   17   27   23   28   15  8.313328 0.403477 SUCCESS  42
001100111   24   29   31   20   21   18   24   26  5.909018 0.657423 SUCCESS  43
001101011   28   21   23   18   29   20   34   29  9.375806 0.311592 SUCCESS  44
001101101   27   30   23   16   27   25   24   22  5.239756 0.731670 SUCCESS  45
001101111   33   20   21   31   24   25   20   21  7.620898 0.471349 SUCCESS  46
001110101   28   26   19   34   29   26   18   12 15.051621 0.058149 SUCCESS  47
001110111   25   31   30   22   22   32   21   27  6.902650 0.547172 SUCCESS  48
001111011   26   34   28   28   23   27   24   18  7.224372 0.512630 SUCCESS  49
001111101   23   21   25   22   33   27   22   18  6.230740 0.621403 SUCCESS  50
001111111   21   21   18   29   33   26   36   25 12.571183 0.127480 SUCCESS  51
010000011   34   19   20   28   17   25   20   21 10.152970 0.254453 SUCCESS  52
010000111   24   28   12   28   20   40   24   23 18.840131 0.015738 SUCCESS  53
010001011   33   27   25   37   22   26   29   32 13.862043 0.085433 SUCCESS  54
010001111   26   23   28   28   17   22   32   24  6.308192 0.612752 SUCCESS  55
010010011   30   23   26   19   27   23   26   19  4.468550 0.812571 SUCCESS  56
010010111   25   23   25   24   23   23   21   26  0.883929 0.998881 SUCCESS  57
010011011   21   22   26   23   26   28   18   26  3.425932 0.904861 SUCCESS  58
010011111   22   18   27   23   25   19   22   21  4.330858 0.826107 SUCCESS  59
010100011   27   22   30   23   27   25   30   21  4.063418 0.851357 SUCCESS  60
010100111   25   28   20   24   28   24   33   39 14.114919 0.078819 SUCCESS  61
010101011   24   28   33   23   24   23   31   27  5.996399 0.647635 SUCCESS  62
010101111   25   26   23   20   20   32   25   32  6.757676 0.562989 SUCCESS  63
010110011   26   25   26   31   30   23   24   22  3.741696 0.879644 SUCCESS  64
010110111   25   25   26   24   21   29   18   26  3.375621 0.908625 SUCCESS  65
010111011   23   22   33   18   31   20   23   25  7.959831 0.437404 SUCCESS  66
010111111   27   23   24   25   23   24   21   20  1.790180 0.986782 SUCCESS  67
011000111   25   22   32   23   33   17   32   23 10.774569 0.214802 SUCCESS  68
011001111   23   22   21   26   33   19   31   26  7.248865 0.510036 SUCCESS  69
011010111   25   31   21   24   24   19   29   18  6.230740 0.621403 SUCCESS  70
011011111   29   26   28   28   27   21   19   19  5.350307 0.719562 SUCCESS  71
011101111   16   31   29   18   19   36   23   36 20.188584 0.009646 FAILURE  72
011111111   24   27   22   29   31   19   33   22  7.893633 0.443929 SUCCESS  73
100000000   16   27   19   18   25   29   36   33 15.993618 0.042472 SUCCESS  74
100010000   19   24   19   19   28   26   21   29  5.755439 0.674605 SUCCESS  75
100100000   27   26   25   18   25   25   29   27  3.359734 0.909799 SUCCESS  76
100101000   30   27   28   30   27   30   23   19  6.428672 0.599330 SUCCESS  77
100110000   26   36   23   27   23   20   31   25  8.944857 0.346969 SUCCESS  78
100111000   16   28   23   21   22   31   21   30  8.018747 0.431641 SUCCESS  79
101000000   24   24   27   25   26   20   27   18  3.265071 0.916639 SUCCESS  80
101000100   20   24   17   25   26   22   21   21  4.491719 0.810261 SUCCESS  81
101001000   17   24   24   27   26   26   21   19  4.560565 0.803344 SUCCESS  82
101001100   25   28   18   27   33   24   33   24  8.868730 0.353491 SUCCESS  83
101010000   20   23   18   22   24   21   19   22  4.855146 0.772940 SUCCESS  84
101010100   24   30   23   24   21   30   27   20  4.350717 0.824176 SUCCESS  85
101011000   21   20   31   31   23   25   31   30  8.275596 0.407023 SUCCESS  86
101011100   30   22   27   26   18   17   24   28  6.578279 0.582739 SUCCESS  87
101100000   25   32   23   27   26   31   20   16  8.595994 0.377514 SUCCESS  88
101100100   26   24   22   22   22   23   18   24  2.670613 0.953300 SUCCESS  89
101101000   31   20   25   16   23   23   27   28  6.671619 0.572441 SUCCESS  90
101101100   27   17   23   19   26   24   22   15  8.024705 0.431061 SUCCESS  91
101110000   28   28   29   26   25   23   21   31  4.538720 0.805547 SUCCESS  92
101110100   24   23   26   23   25   24   28   23  0.935564 0.998624 SUCCESS  93
101111000   29   27   19   28   27   23   24   25  3.359734 0.909799 SUCCESS  94
101111100   24   31   28   22   23   26   27   24  3.131351 0.925846 SUCCESS  95
110000000   22   26   22   24   25   31   27   28  3.300817 0.914087 SUCCESS  96
110000010   24   23   38   32   24   25   26   25 10.521693 0.230300 SUCCESS  97
110000100   25   23   33   32   21   21   21   17  9.467821 0.304379 SUCCESS  98
110001000   23   17   22   20   29   12   21   28 11.913837 0.155090 SUCCESS  99
110001010   26   19   19   30   30   24   26   36 11.054587 0.198625 SUCCESS 100
110010000   27   28   17   20   23   20   30   27  6.493546 0.592124 SUCCESS 101
110010010   30   24   22   24   29   27   19   24  4.011784 0.856059 SUCCESS 102
110010100   32   20   22   28   23   27   30   14 10.340973 0.241905 SUCCESS 103
110011000   28   33   24   30   22   17   30   29  9.809403 0.278659 SUCCESS 104
110011010   35   14   26   28   22   23   27   29 11.511353 0.174374 SUCCESS 105
110100000   25   21   19   28   26   27   26   21  3.282282 0.915415 SUCCESS 106
110100010   25   30   15   27   20   23   26   28  6.934425 0.543724 SUCCESS 107
110100100   25   26   24   24   29   21   21   20  2.832798 0.944408 SUCCESS 108
110101000   22   20   22   19   20   20   25   26  4.305041 0.828606 SUCCESS 109
