		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000011101   23   24   24   28   22   21   20   26  2.307186 0.970117 SUCCESS  14
000011111   34   28   21   20   20   23   34   20 11.392197 0.180451 SUCCESS  15
000100011   25   22   27   30   24   25   23   28  2.529611 0.960336 SUCCESS  16
000100101   30   25   24   33   27   34   26   33 11.921780 0.154728 SUCCESS  17
000100111   12   26   30   34   32   29   14   24 19.789410 0.011163 SUCCESS  18
000101001   24   21   20   24   27   19   20   19  4.898175 0.768402 SUCCESS  19
000101011   23   29   20   23   19   14   25   26  7.822139 0.451034 SUCCESS  20
000101101   21   23   21   27   30   27   20   17  6.102978 0.635698 SUCCESS  21
000101111   28   25   25   19   19   24   24   25  3.078392 0.929342 SUCCESS  22
000110011   18   23   25   31   27   18   17   28  8.568853 0.379961 SUCCESS  23
000110101   21   19   23   23   23   30   27   29  4.485761 0.810856 SUCCESS  24
000110111   19   28   22   29   16   19   20   25  7.983001 0.435132 SUCCESS  25
000111001   22   18   30   28   34   21   23   30  9.664429 0.289373 SUCCESS  26
000111011   26   25   21   30   20   19   22   33  7.375303 0.496734 SUCCESS  27
000111101   23   33   25   27   30   32   27   31  9.430088 0.307322 SUCCESS  28
000111111   29   28   29   21   20   24   33   26  6.902650 0.547172 SUCCESS  29
001000011   29   21   26   24   29   23   26   26  2.699078 0.951801 SUCCESS  30
001000101   22   29   22   29   13   22   26   14 12.719466 0.121873 SUCCESS  31
001000111   24   25   32   31   28   23   25   17  7.283288 0.506399 SUCCESS  32
001001011   28   22   30   30   20   27   20   25  5.393336 0.714827 SUCCESS  33
001001101   30   23   24   23   19   24   38   28 11.130715 0.194402 SUCCESS  34
001001111   17   31   27   27   29   24   14   23 10.306550 0.244166 SUCCESS  35
001010011   18   20   16   22   29   25   22   16  9.930545 0.269935 SUCCESS  36
001010101   21   25   27   21   15   31   25   19  8.119368 0.421898 SUCCESS  37
001010111   27   28   13   24   25   23   21   22  7.178695 0.517481 SUCCESS  38
001011011   17   22   28   23   27   22   19   22  5.204009 0.735565 SUCCESS  39
001011101   28   20   26   18   18   22   24   25  5.212615 0.734629 SUCCESS  40
001011111   31   20   25   14   14   26   24   21 12.448054 0.132304 SUCCESS  41
001100101   31   22   17   27   23   22   29   18  7.653997 0.467977 SUCCESS  42
001100111   18   23   29   24   28   28   22   22  4.307689 0.828351 SUCCESS  43
001101011   28   22   28   22   18   24   31   30  6.503476 0.591022 SUCCESS  44
001101101   31   19   29   34   25   31   21   21 10.724259 0.217818 SUCCESS  45
001101111   22   28   22   29   23   21   24   26  2.621626 0.955818 SUCCESS  46
001110101   24   20   16   22   18   23   28   28  6.974805 0.539353 SUCCESS  47
001110111   25   31   19   24   21   18   26   29  6.332685 0.610020 SUCCESS  48
001111011   17   28   23   22   28   28   25   20  5.129206 0.743681 SUCCESS  49
001111101   23   22   21   23   36   25   22   27  7.146920 0.520867 SUCCESS  50
001111111   34   21   22   16   25   26   36   23 13.536349 0.094680 SUCCESS  51
010000011   25   24   29   29   22   25   22   23  2.401849 0.966151 SUCCESS  52
010000111   31   26   21   21   33   24   26   30  7.512995 0.482425 SUCCESS  53
010001011   27   32   23   22   17   28   22   23  6.256557 0.618518 SUCCESS  54
010001111   23   30   31   26   26   22   20   21  5.028585 0.754517 SUCCESS  55
010010011   29   36   18   18   27   23   27   17 13.043836 0.110350 SUCCESS  56
010010111   24   19   26   22   14   23   24   26  6.373066 0.605519 SUCCESS  57
010011011   27   19   21   27   23   20   29   26  4.205744 0.838100 SUCCESS  58
010011111   19   31   22   28   37   24   20   18 13.162992 0.106363 SUCCESS  59
010100011   23   30   26   19   16   32   32   33 13.774662 0.087831 SUCCESS  60
010100111   14   25   18   25   30   26   22   21  8.517218 0.384642 SUCCESS  61
010101011   23   23   25   23   17   30   27   21  4.688327 0.790309 SUCCESS  62
010101111   29   26   21   21   21   22   25   23  2.815586 0.945392 SUCCESS  63
010110011   26   23   21   18   25   28   28   27  3.816500 0.873288 SUCCESS  64
010110111   20   30   17   28   29   22   14   19 11.974077 0.152364 SUCCESS  65
010111011   30   20   29   14   17   19   18   26 13.023977 0.111027 SUCCESS  66
010111111   28   17   23   16   13   24   19   22 12.929314 0.114305 SUCCESS  67
011000111   14   20   22   26   20   21   25   31  8.923674 0.348776 SUCCESS  68
011001111   23   23   29   25   24   26   25   26  1.317526 0.995339 SUCCESS  69
011010111   27   25   29   24   21   16   29   23  5.663423 0.684875 SUCCESS  70
011011111   23   22   23   29   29   18   20   23  4.840582 0.774471 SUCCESS  71
011101111   27   29   25   26   20   23   18   28  4.494367 0.809996 SUCCESS  72
011111111   27   21   22   21   17   21   27   26  4.712820 0.787783 SUCCESS  73
100000000   32   22   28   34   23   23   33   26 10.556116 0.228140 SUCCESS  74
100010000   30   20   21   32   23   35   20   27 11.037375 0.199590 SUCCESS  75
100100000   18   23   33   16   23   22   29   28  9.713416 0.285719 SUCCESS  76
100101000   33   20   25   21   17   28   30   33 11.791370 0.160758 SUCCESS  77
100110000   25   23   40   32   32   29   19   26 17.547285 0.024889 SUCCESS  78
100111000   18   27   20   34   28   22   26   23  7.731448 0.460133 SUCCESS  79
101000000   24   22   28   20   33   22   29   26  6.003681 0.646820 SUCCESS  80
101000100   29   30   30   27   22   27   22   27  4.903471 0.767842 SUCCESS  81
101001000   22   29   20   18   26   25   26   25  3.942938 0.862235 SUCCESS  82
101001100   20   20   25   23   25   29   26   21  3.247859 0.917854 SUCCESS  83
101010000   24   26   22   26   27   16   35   23  8.587388 0.378289 SUCCESS  84
101010100   24   36   22   25   24   24   22   23  6.308192 0.612752 SUCCESS  85
101011000   28   25   19   29   30   24   23   38 11.953555 0.153288 SUCCESS  86
101011100   28   20   20   25   29   24   21   21  4.086587 0.849228 SUCCESS  87
101100000   32   22   30   27   23   20   27   22  5.740875 0.676232 SUCCESS  88
101100100   31   18   31   21   14   17   33   23 16.033999 0.041896 SUCCESS  89
101101000   24   27   20   25   25   27   28   21  2.469371 0.963144 SUCCESS  90
101101100   31   19   34   24   25   21   23   21  8.070382 0.426625 SUCCESS  91
101110000   21   21   20   24   29   19   25   35  8.713826 0.367009 SUCCESS  92
101110100   21   29   21   22   17   13   27   29 11.126743 0.194621 SUCCESS  93
101111000   22   24   28   26   32   23   24   24  3.453073 0.902801 SUCCESS  94
101111100   30   21   22   22   21   29   28   17  6.561068 0.584642 SUCCESS  95
110000000   32   25   34   31   23   29   27   17 11.801300 0.160292 SUCCESS  96
110000010   15   28   27   24   23   18   21   26  7.000623 0.536566 SUCCESS  97
110000100   22   25   24   40   27   23   16   29 14.833168 0.062472 SUCCESS  98
110001000   23   20   29   36   24   30   19   27 10.359508 0.240694 SUCCESS  99
110001010   21   25   20   22   29   27   23   27  3.121421 0.926508 SUCCESS 100
110010000   18   26   32   14   29   22   32   25 12.476519 0.131175 SUCCESS 101
110010010   30   17   23   25   25   32   24   25  6.232064 0.621255 SUCCESS 102
110010100   26   22   26   22   22   20   26   30  3.206154 0.920762 SUCCESS 103
110011000   28   20   22   30   26   25   22   34  7.215766 0.513542 SUCCESS 104
110011010   28   23   23   22   21   28   25   38  9.851108 0.275632 SUCCESS 105
110100000   21   22   34   19   31   24   23   30  9.138817 0.330721 SUCCESS 106
110100010   23   31   27   27   23   26   24   27  2.987701 0.935127 SUCCESS 107
110100100   28   29   23   19   19   31   37   16 15.561345 0.049107 SUCCESS 108
110101000   26   29   23   19   18   23   32   28  7.138314 0.521786 SUCCESS 109
110101010   26   34   20   27   26   23   24   25  5.334419 0.721308 SUCCESS 110
110101100   33   26   16   24   29   20   24   34 11.867498 0.157214 SUCCESS 111
110110000   25   21   24   26   22   24   23   23  1.036185 0.998009 SUCCESS 112
110110010   27   21   33   25   12   17   28   18 15.041691 0.058340 SUCCESS 113
110110100   31   22   17   21   29   29   25   22  6.951636 0.541860 SUCCESS 114
110111000   19   28   24   24   25   20   17   24  4.958415 0.762011 SUCCESS 115
110111010   18   38   16   11   18   11   30   27 31.122504 0.000134 FAILURE 116
110111100   23   23   27   24   25   21   22   33  4.342112 0.825014 SUCCESS 117
111000000   29   24   23   32   20   23   23   18  6.154612 0.629918 SUCCESS 118
111000010   25   24   18   32   20   23   18   24  6.848367 0.553078 SUCCESS 119
111000100   16   13   31   36   27   28   24   23 16.967390 0.030450 SUCCESS 120
111000110   31   29   30   26   30   34   24   20 10.243000 0.248383 SUCCESS 121
111001000   18   23   28   21   23   22   21   25  3.687414 0.884168 SUCCESS 122
111001010   25   23   28   17   25   22   21   25  3.730442 0.880588 SUCCESS 123
111001100   20   25   26   24   27   31   18   24  4.824695 0.776138 SUCCESS 124
111010000   24   21   29   22   35   22   20   36 13.164316 0.106320 SUCCESS 125
111010010   17   23   22   20   20   19   29   17  8.735672 0.365083 SUCCESS 126
111010100   17   33   23   22   16   27   37   26 15.891673 0.043957 SUCCESS 127
111010110   28   26   15   17   30   19   26   31 11.238617 0.188542 SUCCESS 128
111011000   22   27   25   28   18   20   24   19  4.890893 0.769171 SUCCESS 129
111011010   27   25   16   14   31   18   28   23 12.084627 0.147468 SUCCESS 130
111011100   20   26   25   22   17   24   24   30  4.849188 0.773567 SUCCESS 131
111100000   25   18   22   29   23   27   21   19  4.984232 0.759260 SUCCESS 132
111100010   24   18   30   29   23   27   31   25  6.198965 0.624956 SUCCESS 133
111100100   18   20   31   25   17   23   26   21  7.415684 0.492518 SUCCESS 134
111100110   26   21   29   17   24   34   19   33 12.095881 0.146977 SUCCESS 135
111101000   18   25   26   27   30   27   24   33  6.902650 0.547172 SUCCESS 136
111101010   28   32   21   32   24   27   28   31  8.624459 0.374959 SUCCESS 137
111101100   24   33   25   36   22   28   24   11 17.264619 0.027469 SUCCESS 138
111101110   22   27   30   17   17   15   24   22 10.490580 0.232266 SUCCESS 139
111110000   28   25   17   26   16   25   19   22  7.474600 0.486396 SUCCESS 140
111110010   20   19   31   15   22   24   24   16 10.888430 0.208101 SUCCESS 141
111110100   17   26   17   20   26   20   27   28  7.330950 0.501383 SUCCESS 142
111110110   31   29   24   30   22   19   23   17  7.959831 0.437404 SUCCESS 143
111111000   34   21   19   28   20   32   24   28 10.003363 0.264790 SUCCESS 144
111111010   24   23   23   25   20   22   25   28  1.815997 0.986142 SUCCESS 145
111111100   26   17   26   22   17   27   24   23  5.475421 0.705762 SUCCESS 146
111111110   27   21   22   21   17   21   27   26  4.712820 0.787783 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   18   24   24   22   22   26   23   17  4.745919 0.784355 SUCCESS   0
000000011   33   24   21   16   23   27   23   11 14.676940 0.065740 SUCCESS   1
000000101   27   26   15   16   23   19   29   23  9.423469 0.307841 SUCCESS   2
000000111   25   17   22   16   27   31   28   27  8.535754 0.382958 SUCCESS   3
000001001   22   17   18   31   19   31   29   30 11.451113 0.177425 SUCCESS   4
000001011   19   24   24   22   21   21   30   26  3.908515 0.865282 SUCCESS   5
000001101   28   27   31   15   27   28   23   13 12.848552 0.117168 SUCCESS   6
000001111   24   24   23   26   32   32   22   27  5.631648 0.688415 SUCCESS   7
000010001   22   28   26   30   17   22   22   29  5.934835 0.654531 SUCCESS   8
000010011   36   16   18   18   19   24   29   29 15.195270 0.055458 SUCCESS   9
000010101   29   27   23   23   35   30   26   24  7.556024 0.477994 SUCCESS  10
000010111   21   29   25   17   22   26   27   21  4.849188 0.773567 SUCCESS  11
000011001   29   18   18   18   25   14   24   25 10.718963 0.218137 SUCCESS  12
000011011   28   25   24   20   25   21   28   14  7.026440 0.533783 SUCCESS  13
000011101   26   25   20   26   36   19   27   20  9.095789 0.334280 SUCCESS  14
000011111   15   21   26   26   32   32   19   32 13.027949 0.110892 SUCCESS  15
000100011   20   30   18   33   24   23   17   27  9.713416 0.285719 SUCCESS  16
000100101   27   21   21   34   20   20   24   29  7.714237 0.461870 SUCCESS  17
000100111   24   20   26   19   17   20   28   28  6.407489 0.601686 SUCCESS  18
000101001   23   33   25   26   16   26   22   19  7.916803 0.441639 SUCCESS  19
000101011   31   24   27   25   26   29   26   27  3.556342 0.894773 SUCCESS  20
000101101   20   21   26   27   29   18   15   24  8.084945 0.425217 SUCCESS  21
000101111   24   32   27   17   17   22   36   25 13.341065 0.100641 SUCCESS  22
000110011   21   24   23   27   25   16   24   30  5.205333 0.735421 SUCCESS  23
000110101   29   32   27   24   30   30   34   25 10.218506 0.250023 SUCCESS  24
000110111   24   17   24   19   25   27   32   15 10.059631 0.260866 SUCCESS  25
000111001   24   26   20   32   28   25   23   31  5.877243 0.660980 SUCCESS  26
000111011   32   20   27   20   27   18   23   23  6.561068 0.584642 SUCCESS  27
000111101   21   28   31   28   28   29   18   25  6.631238 0.576890 SUCCESS  28
000111111   18   27   28   23   28   28   23   28  4.385140 0.820811 SUCCESS  29
001000011   25   27   21   25   22   22   26   31  3.249183 0.917761 SUCCESS  30
001000101   25   26   33   26   18   29   24   20  6.825198 0.555605 SUCCESS  31
001000111   26   17   18   27   27   24   18   29  7.373979 0.496872 SUCCESS  32
001001011   27   32   21   29   17   13   24   24 11.958189 0.153079 SUCCESS  33
001001101   23   24   19   19   13   28   21   26  9.210973 0.324812 SUCCESS  34
001001111   25   19   21   20   22   23   28   26  3.543764 0.895767 SUCCESS  35
001010011   28   34   24   25   20   27   24   20  6.410137 0.601392 SUCCESS  36
001010101   29   30   27   26   25   31   23   21  5.055726 0.751604 SUCCESS  37
001010111   29   22   25   20   19   33   27   17  8.950815 0.346462 SUCCESS  38
001011011   21   25   25   30   30   17   23   29  6.477659 0.593887 SUCCESS  39
001011101   27   22   26   26   25   28   26   22  1.665065 0.989616 SUCCESS  40
001011111   17   30   17   18   18   22   23   26  9.871629 0.274152 SUCCESS  41
001100101   29   23   14   23   25   30   25   31  8.850194 0.355091 SUCCESS  42
001100111   24   19   22   31   23   21   14   27  8.771419 0.361944 SUCCESS  43
001101011   25   32   25   22   25   25   29   25  3.665568 0.885967 SUCCESS  44
001101101   18   25   21   16   29   21   22   26  6.966200 0.540284 SUCCESS  45
001101111   17   26   34   25   24   24   27   20  7.468642 0.487013 SUCCESS  46
001110101   17   27   23   33   27   24   26   20  7.044975 0.531788 SUCCESS  47
001110111   29   26   25   27   17   18   21   22  6.094372 0.636662 SUCCESS  48
001111011   26   23   26   29   24   23   25   23  1.385048 0.994456 SUCCESS  49
001111101   19   25   22   29   24   37   22   22  9.612795 0.293261 SUCCESS  50
001111111   24   31   23   30   26   32   27   22  6.352544 0.607806 SUCCESS  51
010000011   23   21   32   35   36   26   26   22 13.945453 0.083198 SUCCESS  52
010000111   18   21   22   30   31   28   17   23  8.594670 0.377633 SUCCESS  53
010001011   24   21   34   23   23   19   16   22  9.034224 0.339417 SUCCESS  54
010001111   22   22   13   23   21   30   27   33 11.314745 0.184495 SUCCESS  55
010010011   21   18   26   33   19   23   24   32  9.239438 0.322502 SUCCESS  56
010010111   22   36   17   32   10   19   23   18 22.548542 0.003995 FAILURE  57
010011011   27   28   22   18   22   24   24   23  3.154520 0.924289 SUCCESS  58
010011111   27   24   21   26   25   27   31   26  3.148562 0.924691 SUCCESS  59
010100011   21   25   24   18   21   30   28   26  4.722750 0.786756 SUCCESS  60
010100111   25   30   23   28   25   28   25   23  2.640162 0.954874 SUCCESS  61
010101011   26   27   25   22   21   26   29   22  2.393243 0.966523 SUCCESS  62
010101111   36   26   30   21   27   35   22   18 14.656419 0.066181 SUCCESS  63
010110011   24   18   29   27   19   27   23   31  6.375714 0.605224 SUCCESS  64
010110111   26   29   24   38   27   22   29   31 12.124346 0.145741 SUCCESS  65
010111011   21   25   22   19   23   29   24   19  4.204420 0.838225 SUCCESS  66
010111111   19   22   20   27   19   18   20   22  6.617336 0.578424 SUCCESS  67
011000111   27   23   34   17   23   26   16   24  9.780938 0.280739 SUCCESS  68
011001111   29   19   29   33   28   23   17   22  9.358595 0.312954 SUCCESS  69
011010111   25   29   18   24   18   25   33   20  8.357681 0.399333 SUCCESS  70
011011111   23   33   24   32   27   28   34   22 10.658061 0.221837 SUCCESS  71
011101111   27   24   27   22   21   16   21   24  4.797554 0.778979 SUCCESS  72
011111111   18   37   22   27   22   24   31   26 11.198236 0.190718 SUCCESS  73
100000000   18   24   24   22   22   26   23   17  4.745919 0.784355 SUCCESS  74
100010000   23   27   21   22   20   27   18   31  5.789861 0.670757 SUCCESS  75
100100000   27   18   18   35   30   25   23   27 10.231746 0.249136 SUCCESS  76
100101000   28    9   23   20   25   27   23   24 11.889343 0.156210 SUCCESS  77
100110000   16   21   21   24   22   24   37   21 11.441183 0.177932 SUCCESS  78
100111000   25   27   29   19   23   22   27   27  3.333916 0.911690 SUCCESS  79
101000000   35   26   27   18   24   15   27   25 10.942712 0.204966 SUCCESS  80
101000100   26   28   16   19   18   22   19   32 10.542214 0.229011 SUCCESS  81
101001000   19   25   30   25   22   18   24   17  6.898678 0.547603 SUCCESS  82
101001100   29   20   23   31   23   27   30   20  6.164542 0.628807 SUCCESS  83
101010000   28   21   17   24   24   22   24   23  3.704625 0.882742 SUCCESS  84
101010100   36   31   21   22   30   25   21   23 10.198647 0.251359 SUCCESS  85
101011000   23   21   21   20   27   27   31   29  5.198052 0.736214 SUCCESS  86
101011100   19   23   18   24   16   27   32   20  9.601541 0.294113 SUCCESS  87
101100000   24   20   24   19   28   29   21   24  4.010460 0.856179 SUCCESS  88
101100100   26   21   25   24   24   24   17   27  3.239253 0.918458 SUCCESS  89
101101000   17   28   28   14   36   15   15   26 21.294752 0.006404 FAILURE  90
101101100   30   28   20   26   33   19   16   26 10.273451 0.246355 SUCCESS  91
101110000   21   26   27   23   21   21   20   21  3.255141 0.917341 SUCCESS  92
101110100   22   22   28   22   16   29   35   25  9.943123 0.269041 SUCCESS  93
101111000   28   28   28   19   21   33   20   21  7.816182 0.451629 SUCCESS  94
101111100   27   23   26   24   20   34   32   27  7.945268 0.438835 SUCCESS  95
110000000   30   24   26   20   26   26   24   18  4.222955 0.836468 SUCCESS  96
110000010   22   27   19   35   27   23   30   27  8.512584 0.385064 SUCCESS  97
110000100   30   26   31   14   20   21   23   27  9.543949 0.298503 SUCCESS  98
110001000   19   28   24   32   29   28   20   21  6.994665 0.537208 SUCCESS  99
110001010   31   27   21   29   22   26   25   25  3.902557 0.865806 SUCCESS 100
110010000   26   25   14   37   38   25   31   31 22.978829 0.003392 FAILURE 101
110010010   27   23   26   21   13   24   18   26  8.321934 0.402671 SUCCESS 102
110010100   16   15   25   24   25   25   31   29  9.526737 0.299825 SUCCESS 103
110011000   22   21   23   28   26   24   29   22  2.621626 0.955818 SUCCESS 104
110011010   33   32   28   30   25   15   17   27 13.824972 0.086443 SUCCESS 105
110100000   26   20   34   26   21   22   26   19  7.019158 0.534567 SUCCESS 106
110100010   19   29   29   23   19   18   19   26  7.424290 0.491621 SUCCESS 107
110100100   19   20   27   26   23   16   28   18  7.804928 0.452754 SUCCESS 108
110101000   23   28   19   27   20   17   32   22  7.984325 0.435003 SUCCESS 109
110101010   33   28   19   18   26   20   27   24  7.875098 0.445765 SUCCESS 110
110101100   21   14   24   19   21   27   21   28  8.126650 0.421197 SUCCESS 111
110110000   28   16   22   17   34   22   18   26 12.093233 0.147092 SUCCESS 112
110110010   19   22   21   27   19   23   20   23  4.474508 0.811978 SUCCESS 113
110110100   17   28   33   16   29   22   31   23 12.061458 0.148483 SUCCESS 114
110111000   20   27   25   26   25   25   27   21  2.037098 0.979853 SUCCESS 115
110111010   30   19   19   17   23   28   25   29  7.662602 0.467102 SUCCESS 116
110111100   23   30   24   28   24   27   26   27  2.657373 0.953988 SUCCESS 117
111000000   25   28   27   20   30   28   25   23  3.648357 0.887376 SUCCESS 118
111000010   26   30   25   18   25   26   26   24  3.427256 0.904761 SUCCESS 119
111000100   21   22   20   27   22   34   31   26  7.943944 0.438965 SUCCESS 120
111000110   17   32   23   24   26   18   32   28  9.697528 0.286900 SUCCESS 121
111001000   32   23   13   32   25   24   29   28 11.952231 0.153348 SUCCESS 122
111001010   19   14   22   26   23   24   39   23 15.373343 0.052280 SUCCESS 123
111001100   18   25   20   31   26   24   25   17  6.865579 0.551203 SUCCESS 124
111010000   19   17   25   23   19   33   30   18 11.085038 0.196927 SUCCESS 125
111010010   21   26   29   19   25   25   20   16  6.568350 0.583837 SUCCESS 126
111010100   24   27   20   25   27   25   24   24  1.443964 0.993600 SUCCESS 127
111010110   23   28   24   26   18   31   24   28  4.884935 0.769801 SUCCESS 128
111011000   28   18   28   24   27   24   21   29  4.520184 0.807410 SUCCESS 129
111011010   23   23   27   19   22   20   27   21  3.526553 0.897119 SUCCESS 130
111011100   23   29   24   23   30   27   24   17  5.011373 0.756360 SUCCESS 131
111100000   27   29   16   24   23   26   27   25  4.672440 0.791943 SUCCESS 132
111100010   26   28   29   24   29   28   26   26  3.226014 0.919384 SUCCESS 133
111100100   33   22   19   25   19   31   27   26  8.104805 0.423300 SUCCESS 134
111100110   26   21   28   28   23   24   17   16  7.093962 0.526530 SUCCESS 135
111101000   25   20   24   22   18   30   22   21  4.882287 0.770080 SUCCESS 136
111101010   26   25   20   22   27   20   17   27  4.899499 0.768262 SUCCESS 137
111101100   29   25   31   27   25   22   21   27  4.080630 0.849776 SUCCESS 138
111101110   21   21   24   25   34   29   28   23  6.435954 0.598520 SUCCESS 139
111110000   25   33   27   25   23   23   27   28  4.453986 0.814019 SUCCESS 140
111110010   27   21   23   14   21   30   26   32  9.815361 0.278225 SUCCESS 141
111110100   15   21   24   23   22   26   23   18  6.490898 0.592417 SUCCESS 142
111110110   27   25   29   21   25   29   29   37 10.225788 0.249535 SUCCESS 143
111111000   27   30   28   30   27   23   26   21  4.462592 0.813164 SUCCESS 144
111111010   15   26   17   24   24   17   16   26 11.599396 0.169993 SUCCESS 145
111111100   28   33   21   30   30   29   28   17 10.597821 0.225545 SUCCESS 146
111111110   18   37   22   27   22   24   31   26 11.198236 0.190718 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   21   22   23   27   20   27   25   17  4.543354 0.805080 SUCCESS   0
000000011   27   19   27   28   22   28   23   23  3.316705 0.912940 SUCCESS   1
000000101   19   20   20   22   21   20   25   30  5.771326 0.672829 SUCCESS   2
000000111   24   22   33   27   17   26   24   19  7.340880 0.500340 SUCCESS   3
000001001   27   33   36   19   22   26   22   14 15.535528 0.049532 SUCCESS   4
000001011   18   22   24   26   20   22   34   24  7.069468 0.529156 SUCCESS   5
000001101   25   28   34   17   25   24   24   23  6.901326 0.547315 SUCCESS   6
000001111   22   12   27   30   22   19   21   30 11.669566 0.166567 SUCCESS   7
000010001   20   25   18   23   37   16   25   16 15.372019 0.052303 SUCCESS   8
000010011   28   26   31   16   18   22   16   21 10.948670 0.204625 SUCCESS   9
000010101   23   17   15   22   23   16   20   27 10.565384 0.227561 SUCCESS  10
000010111   25   26   19   31   25   21   26   24  3.825105 0.872548 SUCCESS  11
000011001   20   22   24   22   27   20   31   29  5.163629 0.739953 SUCCESS  12
000011011   25   29   27   24   25   28   26   22  2.123155 0.977002 SUCCESS  13
000011101   23   23   22   19   22   28   18   18  5.906370 0.657719 SUCCESS  14
000011111   25   13   25   27   20   25   19   30  9.220903 0.324005 SUCCESS  15
000100011   23   27   22   22   23   22   30   16  5.501238 0.702903 SUCCESS  16
000100101   24   22   19   29   23   29   26   22  3.714555 0.881916 SUCCESS  17
000100111   29   27   32   19   16   23   27   20  9.044154 0.338585 SUCCESS  18
000101001   27   17   26   23   26   20   22   26  4.077982 0.850020 SUCCESS  19
000101011   28   28   20   17   21   20   16   20  9.354623 0.313269 SUCCESS  20
000101101   25   23   19   23   37   21   28   26  9.291073 0.318340 SUCCESS  21
000101111   33   32   16   31   30   24   23   26 11.944950 0.153677 SUCCESS  22
000110011   27   17   14   24   30   22   30   32 12.544041 0.128530 SUCCESS  23
000110101   21   29   28   25   25   24   19   32  5.656142 0.685686 SUCCESS  24
000110111   16   20   28   27   25   22   27   25  5.205333 0.735421 SUCCESS  25
000111001   28   27   26   23   22   21   23   14  6.424700 0.599771 SUCCESS  26
000111011   24   29   18   23   21   24   23   20  4.119686 0.846167 SUCCESS  27
000111101   23   22   24   21   26   16   28   22  4.712820 0.787783 SUCCESS  28
000111111   24   23   27   26   19   27   29   22  3.147238 0.924780 SUCCESS  29
001000011   14   21   20   20   21   22   28   25  8.007494 0.432738 SUCCESS  30
001000101   26   30   24   12   37   18   25   20 17.254690 0.027564 SUCCESS  31
001000111   24   36   22   21   15   25   37   12 23.440229 0.002843 FAILURE  32
001001011   27   25   19   20   27   22   26   26  3.104209 0.927649 SUCCESS  33
001001101   27   26   27   30   22   34   14   23 10.824880 0.211821 SUCCESS  34
001001111   30   32   33   26   23   19   33   24 11.479578 0.175977 SUCCESS  35
001010011   23   15   23   26   22   20   21   24  5.576042 0.694601 SUCCESS  36
001010101   25   20   32   25   28   26   15   30  9.028267 0.339917 SUCCESS  37
001010111   30   22   18   22   17   20   19   21  8.413949 0.394113 SUCCESS  38
001011011   23   25   18   27   36   27   22   32 10.800387 0.213268 SUCCESS  39
001011101   32   20   21   19   12   18   26   26 13.456250 0.097086 SUCCESS  40
001011111   29   34   22   29   25   19   30   26  8.631741 0.374307 SUCCESS  41
001100101   14   23   33   29   22   15   21   31 15.017198 0.058812 SUCCESS  42
001100111   28   23   17   18   27   21   31   27  7.595080 0.473988 SUCCESS  43
001101011   15   30   25   27   27   30   22   29  8.130622 0.420816 SUCCESS  44
001101101   27   28   25   27   21   38   19   24 10.707047 0.218857 SUCCESS  45
001101111   18   23   34   28   26   25   21   29  7.783083 0.454941 SUCCESS  46
001110101   18   24   30   27   24   39   24   23 12.486449 0.130784 SUCCESS  47
001110111   15   27   22   24   20   24   26   19  6.449193 0.597048 SUCCESS  48
001111011   24   32   36   20   28   24   27   31 11.666256 0.166727 SUCCESS  49
001111101   23   32   22   23   18   19   28   26  6.484940 0.593079 SUCCESS  50
001111111   34   26   24   32   24   22   29   27  7.903563 0.442947 SUCCESS  51
010000011   22   25   26   27   36   23   31   25  8.301413 0.404595 SUCCESS  52
010000111   20   12   20   23   20   24   27   22  9.591611 0.294867 SUCCESS  53
010001011   25   28   15   25   40   27   21   22 15.654684 0.047598 SUCCESS  54
010001111   26   27   20   23   17   17   28   20  7.305133 0.504097 SUCCESS  55
010010011   32   26   29   29   22   37   17   24 13.648224 0.091408 SUCCESS  56
010010111   28   19   24   19   15   19   25   28  8.567529 0.380080 SUCCESS  57
010011011   29   24   26   34   21   37   10   23 21.001495 0.007143 FAILURE  58
010011111   27   31   25   28   26   26   24   20  3.741696 0.879644 SUCCESS  59
010100011   22   22   20   20   19   17   25   34  9.601541 0.294113 SUCCESS  60
